               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1061,            0.038805,            0.036986,                   0,                   0,                   0,                   0,             0.10619,            0.035943,            0.025184,            0.070476,           0.0032804,           0.0032804
                   1,            0.089459,            0.038088,              0.0165,             0.57225,             0.27591,             0.21409,            0.086414,             0.09427,            0.022188,           0.0088246,            0.040411,           0.0065483,           0.0065483
                   2,            0.083214,            0.034885,            0.010423,             0.61185,             0.37255,             0.35896,             0.12686,            0.072069,              0.0227,           0.0087231,            0.010279,           0.0097501,           0.0097501
                   3,            0.072074,             0.03143,           0.0091463,             0.46818,             0.42437,             0.27757,             0.12749,            0.071984,            0.022137,            0.008257,            0.009703,            0.009703,            0.009703
                   4,            0.063853,            0.032828,           0.0072118,             0.77581,             0.53711,             0.53773,             0.31625,            0.046747,            0.024999,           0.0083701,            0.009703,            0.009703,            0.009703
                   5,             0.05859,            0.031751,           0.0066936,             0.82244,             0.31373,              0.4948,             0.21505,            0.053377,            0.028032,           0.0080497,            0.009604,            0.009604,            0.009604
                   6,            0.056271,            0.029877,           0.0069284,             0.54457,             0.30108,             0.26707,             0.17125,            0.071981,            0.050785,            0.020004,            0.009505,            0.009505,            0.009505
                   7,            0.054569,            0.027597,            0.005363,              0.7395,             0.59626,             0.58434,              0.2953,            0.041336,            0.017555,           0.0066285,            0.009406,            0.009406,            0.009406
                   8,            0.051638,            0.029618,           0.0045031,             0.79671,             0.48911,             0.57034,             0.20847,              0.0475,            0.019876,            0.014895,            0.009307,            0.009307,            0.009307
                   9,            0.051787,            0.029175,           0.0041995,             0.81786,             0.56653,              0.6136,             0.33193,             0.03975,            0.018294,           0.0058718,            0.009208,            0.009208,            0.009208
                  10,            0.050834,            0.029107,           0.0037604,             0.70763,             0.59995,             0.59833,             0.27636,            0.041746,             0.01855,           0.0050038,            0.009109,            0.009109,            0.009109
                  11,            0.048821,            0.027144,            0.003546,             0.76737,             0.60521,             0.83185,             0.44114,            0.038216,            0.015684,           0.0052142,             0.00901,             0.00901,             0.00901
                  12,            0.047867,            0.029582,           0.0034105,             0.93963,             0.63243,             0.75057,             0.38181,            0.038225,            0.014931,           0.0064473,            0.008911,            0.008911,            0.008911
                  13,            0.046568,            0.029083,           0.0035578,             0.93005,             0.62815,             0.65113,             0.38567,            0.037439,            0.014219,           0.0044988,            0.008812,            0.008812,            0.008812
                  14,            0.045256,            0.028149,           0.0032762,             0.75047,             0.59992,             0.61341,             0.36186,            0.038232,            0.017496,           0.0064116,            0.008713,            0.008713,            0.008713
                  15,            0.045788,            0.026397,           0.0029783,             0.87479,             0.54258,             0.65127,             0.38007,            0.038952,            0.016435,           0.0061339,            0.008614,            0.008614,            0.008614
                  16,            0.044948,            0.026077,           0.0028131,             0.81929,             0.53011,             0.61065,             0.37206,            0.041782,             0.02199,           0.0063558,            0.008515,            0.008515,            0.008515
